# NuN-boxing / self-tagging (1-tag) self-tagging (2-tag) self-tagging (3-tag) NaN-boxing
compiler,  0.8150422102839601,  0.8265541059094398,  0.9877206446661551,  0.8388334612432847
dynamic,  0.8666107382550335,  0.8573825503355704,  0.9991610738255033,  1.0360738255033557
earley,  1.1521739130434783,  0.9979296066252588,  0.9192546583850931,  1.015527950310559
graphs,  1.021763085399449,  0.9826446280991735,  0.9931129476584022,  0.7484848484848485
matrix,  1.023230686115613,  1.0048622366288493,  1.1264181523500811,  1.0367368989735277
maze,  0.8919699595609474,  0.9243212016175622,  0.9549393414211439,  0.9867128827267475
nboyer,  1.0822510822510822,  0.9783549783549783,  0.946969696969697,  0.8636363636363636
parsing,  1.1323529411764706,  1.1137254901960785,  1.169607843137255,  1.3107843137254902
peval,  1.0098389982110911,  1.1645796064400715,  0.998211091234347,  0.9919499105545617
sboyer,  0.8238884045335658,  1.007846556233653,  0.8578901482127289,  0.9250217959895379
scheme,  0.8416735028712059,  1.0065627563576702,  0.8712059064807219,  0.8416735028712059
slatex,  0.9936507936507937,  0.9825396825396825,  1.0174603174603174,  0.9952380952380953
fibfp,  1.8917910447761195,  1.9067164179104477,  1.4813432835820894,  0.9266169154228856
fft,  1.880225988700565,  2.621468926553672,  1.1581920903954803,  0.8135593220338984
mbrot,  2.253030303030303,  1.593939393939394,  1.4227272727272726,  0.8575757575757575
nucleic,  1.4779151943462898,  1.3162544169611308,  1.019434628975265,  0.7773851590106007
pnpoly,  1.385996409335727,  1.5646319569120288,  0.8877917414721723,  0.8833034111310593
ray,  1.8736842105263158,  1.9181286549707601,  1.4502923976608186,  0.9076023391812865
simplex,  1.118525021949078,  1.1097453906935908,  0.961369622475856,  0.9385425812115891
sum1,  0.9953679876479671,  1.0200720535254761,  0.8574369531652084,  0.8600102933607823
sumfp,  2.0772889417360285,  1.286563614744352,  1.2282996432818074,  0.7621878715814506
