# alloc / self-tagging (2-tag, mantissa low-bits)
compiler,  1.1604714415231188
dynamic,  1.0491109229466553
earley,  0.808252427184466
graphs,  0.6619059344988919
matrix,  1.015918958031838
maze,  1.1768867924528301
nboyer,  1.1099656357388317
parsing,  1.2670157068062826
peval,  0.9899068322981367
sboyer,  0.9940417080436942
scheme,  1.060483870967742
slatex,  0.9984472049689441
fibfp,  0.2594213469486992
fft,  0.9041745730550285
mbrot,  1.404035551285131
nucleic,  1.2974137931034482
pnpoly,  0.7916941331575478
ray,  0.7722968509138957
simplex,  0.9429186860527733
sum1,  0.9142726858185134
sumfp,  0.25352848928384736
