# alloc / self-tagging (1-tag)
compiler,  1.1378823529411766
dynamic,  0.9744924518479958
earley,  1.002247191011236
graphs,  0.9759656652360516
matrix,  1.0621761658031088
maze,  0.9088345864661654
nboyer,  0.9988372093023256
parsing,  0.9689119170984456
peval,  0.9965421853388658
sboyer,  0.9793899422918384
scheme,  1.1483870967741936
slatex,  0.9905163329820864
fibfp,  2.380728554641598
fft,  0.753436068304873
mbrot,  1.846325167037862
nucleic,  1.2332339791356184
pnpoly,  1.6171284634760705
ray,  1.2282676672920576
simplex,  1.1209876543209876
sum1,  1.1114659853082083
sumfp,  1.7854291417165669
