# alloc / self-tagging (1-tag)
compiler,  1.0062388591800357
dynamic,  1.010727969348659
earley,  1.217128027681661
graphs,  1.0025220680958387
matrix,  0.9883192731992213
maze,  1
nboyer,  0.9964881474978051
parsing,  0.9926605504587156
peval,  0.9990262901655307
sboyer,  1.0058181818181817
scheme,  1.0067750677506775
slatex,  0.9939759036144579
fibfp,  0.39608269858541895
fft,  0.7319819819819819
mbrot,  0.30132788559754853
nucleic,  0.3527037933817595
pnpoly,  0.1781767955801105
ray,  0.2909423604757548
simplex,  0.6410256410256411
sum1,  0.9175257731958762
sumfp,  0.31434343434343437
