# bigloo.bmem bigloo_flt1.bmem bigloo_fltnz.bmem bigloo_flt.bmem bigloo_nan.bmem bigloo_nun.bmem
compiler, 1.000017761677661, 1.0000100578174707, 1.00000534990291, 0.9999790283805929, 1.0000836724815119
dynamic, 1.000567697984672, 1.000283848992336, 1.000283848992336, 0.9977292080613114, 0.999716151007664
earley, 0.9961464354527938, 0.9954238921001927, 0.9971098265895954, 0.9947013487475915, 0.9963872832369942
graphs, 0.9999970690725394, 0.9999985345362697, 0.9999985345362697, 0.9999989532401926, 1.0000004187039229
matrix, 1.0000049074696595, 1.0000049074696595, 1, 0.9999852775910213, 0.9999950925303405
maze, 1, 1.0000274393590165, 1.0000274393590165, 0.9998628032049172, 0.9999451212819669
nboyer, 1.006118078923218, 1.0074436626899155, 1.0012236157846437, 1.0013255837666972, 0.9963291526460691
parsing, 1, 1, 1, 0.9993162727095136, 0.9998046493455753
peval, 1.0001378169790518, 1, 1.0001378169790518, 0.9991730981256891, 1
sboyer, 1.0009541984732824, 1.0028625954198473, 0.9995229007633588, 0.9995229007633588, 1.0014312977099236
scheme, 1.0000061962859461, 1.0000123925718925, 1.0000061962859461, 0.9998327002794525, 0.9999628222843228
slatex, 1, 1.0070422535211268, 1, 0.9507042253521126, 0.9859154929577465
fibfp, 0.000029231365668735402, 0.000029231365668735402, 0.000029231365668735402, 0.00002775503406930432, 0.00002864083302896297
fft, 0.3338104315353237, 0.3338104315353237, 0.3338104315353237, 0.3337779021124607, 0.3337974197661785
mbrot, 0.004851647108946408, 0.004851647108946408, 0.004851647108946408, 0.004846387300719015, 0.004849543185655451
nucleic, 0.32579272060337977, 0.32579272060337977, 0.32579272060337977, 0.32576329701154383, 0.3257829127394345
pnpoly, 0.05429965736325225, 0.05429965736325225, 0.05429965736325225, 0.054293109121537, 0.05429638324239463
ray, 0.01897810218978102, 0.01897810218978102, 0.018974290560500085, 0.018955232414095406, 0.018966667301938214
simplex, 0.4679695184167226, 0.4679695184167226, 0.4679695184167226, 0.46792355704266136, 0.46794194159228586
sum1, 0.005869172204822652, 0.005869172204822652, 0.005869172204822652, 0.005837343722150078, 0.005856440811753622
sumfp, 0.00012670670086467725, 0.00012670670086467725, 0.00012670670086467725, 0.00012030737253817839, 0.0001241469695340777

