# alloc / self-tagging (2-tag, mantissa low-bits)
compiler,  1.0446886446886448
dynamic,  1.044839255499154
earley,  1.0627035830618892
graphs,  0.8877212389380531
matrix,  1.0192592592592593
maze,  1.1542901115813775
nboyer,  1.010480349344978
parsing,  1.0965346534653466
peval,  1.0130505709624795
sboyer,  1.0198321891685735
scheme,  1.0241502683363148
slatex,  1.012211668928087
fibfp,  0.2982017982017982
fft,  0.8817157712305026
mbrot,  1.5603911980440097
nucleic,  1.4466697717745691
pnpoly,  0.7717323327079425
ray,  0.7824171614633212
simplex,  0.963314630988347
sum1,  1.0244716351501668
sumfp,  0.23265833692373977
