# alloc / alloc
compiler,  1.049464764890885, 1.0490229094302952, 1.0502641175395213
dynamic,  1.007178696650949, 1.0062420651713924, 1.0080406263224715
earley,  0.8807882255146448, 0.8807711871038423, 0.8810842006416778
graphs,  1.1085467933404163, 1.1091914454150351, 1.1105899565385773
matrix,  1.0178067534538284, 1.016873209582472, 1.0185678758433983
maze,  1.1478984191412092, 1.1460087121515807, 1.1510863465084582
nboyer,  1.014360313315927, 1.0145251276074547, 1.0151186506523358
parsing,  1.0287590997304108, 1.028952916373858, 1.029286718200984
peval,  1.0113801538625165, 1.0115970812239, 1.0118808018654633
sboyer,  1.0454515034179455, 1.045565819419741, 1.0458335723984928
scheme,  1.0170747089110401, 1.0153812824956672, 1.0185649159822168
slatex,  0.9993904297470283, 0.9609107768390687, 1.1776581495981866
fft,  1.062852637652562, 1.0634766012403525, 1.0639614582736445
fibfp,  1.2381923503868189, 1.2384682202758344, 1.2401054285483135
mbrot,  1.1159398915163135, 1.115450207434859, 1.1174651132282767
nucleic,  1.0714329448295468, 1.071760606843181, 1.0728067372549364
pnpoly,  3.947599693776569, 3.9438694812877513, 3.952568653091724
ray,  1.1606450432976336, 1.1606303891338612, 1.1620839970524994
simplex,  1.047187139707075, 1.047397316785233, 1.0493414845015163
sumfp,  1.1706798778029617, 1.1705496713092922, 1.1726590315955625
sum1,  1.001448012761607, 1.0020546308831728, 1.0025364338615912
