#  / self-tagging (2-tag, mantissa low-bits)
compiler,  1.0306846669976744, 1.023652807258169, 1.0377165267371797
dynamic,  1.0614751223980843, 1.0510820280539874, 1.0718682167421811
earley,  0.981914878726829, 0.9020898836283365, 1.0617398738253214
graphs,  0.9338510973260312, 0.8796965736796809, 0.9880056209723815
matrix,  1.0338416631871186, 1.0260640147075903, 1.0416193116666468
maze,  1.1282297709850702, 1.1190216144113732, 1.1374379275587672
nboyer,  1.0176896375456805, 1.0098621837356792, 1.025517091355682
parsing,  1.029368613615191, 1.0240204598112723, 1.0347167674191096
peval,  1.007098249419247, 1.004566671506161, 1.0096298273323332
sboyer,  1.036914859708487, 1.0295193187725957, 1.0443104006443782
scheme,  1.0398891221911817, 1.0127286787088585, 1.0670495656735048
slatex,  1.0005561982752404, 0.9977367616655407, 1.00337563488494
fft,  0.8554923887414322, 0.8460873380616676, 0.8648974394211968
fibfp,  0.27655912100091246, 0.2751958530869134, 0.2779223889149115
mbrot,  1.5644628772147162, 1.5428169332838053, 1.5861088211456271
nucleic,  1.4046829763065882, 1.3975753104250308, 1.4117906421881457
pnpoly,  0.7767917689322779, 0.7645355243595783, 0.7890480135049774
ray,  0.7376744568546664, 0.7339739826591959, 0.7413749310501369
simplex,  0.9950478195631245, 0.98554670404953, 1.004548935076719
sumfp,  0.25644141863885983, 0.2540636006906807, 0.258819236587039
sum1,  1.0771059086951396, 1.0442397258926677, 1.1099720914976114
